Epoch: 73, Elapsed Time: 179.3102536201477 seconds, Train Loss: 0.45208381786346435, Validation Loss: 0.7440926840130132
Epoch: 74, Elapsed Time: 179.124174118042 seconds, Train Loss: 0.448196769285202, Validation Loss: 0.7426934668812127
Epoch: 75, Elapsed Time: 186.36621499061584 seconds, Train Loss: 0.4420091910362244, Validation Loss: 0.7405422619356515
Epoch: 76, Elapsed Time: 184.30471849441528 seconds, Train Loss: 0.43873835315704346, Validation Loss: 0.7417520355111875
Epoch: 77, Elapsed Time: 186.37192797660828 seconds, Train Loss: 0.43475725765228274, Validation Loss: 0.7389462300763724
Epoch: 78, Elapsed Time: 186.44057297706604 seconds, Train Loss: 0.43125182733535766, Validation Loss: 0.7377577961062471
Epoch: 79, Elapsed Time: 186.34121179580688 seconds, Train Loss: 0.4283166819095612, Validation Loss: 0.7363105448671042
Epoch: 80, Elapsed Time: 186.68270301818848 seconds, Train Loss: 0.4244081911087036, Validation Loss: 0.7345999243160406
Epoch: 81, Elapsed Time: 184.21737790107727 seconds, Train Loss: 0.4213724990367889, Validation Loss: 0.7374013797543681
Epoch: 82, Elapsed Time: 184.02802515029907 seconds, Train Loss: 0.4186247882843018, Validation Loss: 0.7356925035437075
Epoch: 83, Elapsed Time: 184.74696254730225 seconds, Train Loss: 0.4162208481788635, Validation Loss: 0.7361906117524583
Epoch: 84, Elapsed Time: 186.16674995422363 seconds, Train Loss: 0.4127039704322815, Validation Loss: 0.7339012554278389
Epoch: 85, Elapsed Time: 185.79815530776978 seconds, Train Loss: 0.41014759283065794, Validation Loss: 0.7334200218081856
Epoch: 86, Elapsed Time: 185.74397492408752 seconds, Train Loss: 0.4082140404701233, Validation Loss: 0.7330440802696033
Epoch: 87, Elapsed Time: 186.4426155090332 seconds, Train Loss: 0.40673329906463623, Validation Loss: 0.7336186555246956
Epoch: 88, Elapsed Time: 184.6971344947815 seconds, Train Loss: 0.4046078809261322, Validation Loss: 0.7342721389505429
Epoch: 89, Elapsed Time: 183.58191561698914 seconds, Train Loss: 0.40363535342216494, Validation Loss: 0.7318008513496326
Epoch: 90, Elapsed Time: 188.72605299949646 seconds, Train Loss: 0.4025115038394928, Validation Loss: 0.7338696992435394
Epoch: 91, Elapsed Time: 183.90074586868286 seconds, Train Loss: 0.40167171688079834, Validation Loss: 0.7321648510119405
Epoch: 92, Elapsed Time: 187.04085326194763 seconds, Train Loss: 0.4008696120738983, Validation Loss: 0.7309322122948619
Epoch: 93, Elapsed Time: 187.46549701690674 seconds, Train Loss: 0.3992019893169403, Validation Loss: 0.7323233580436951
Epoch: 94, Elapsed Time: 181.46455597877502 seconds, Train Loss: 0.39809695262908934, Validation Loss: 0.7321451173041956
Epoch: 95, Elapsed Time: 183.17065739631653 seconds, Train Loss: 0.39772359976768495, Validation Loss: 0.7320990926160599
Epoch: 96, Elapsed Time: 181.69511103630066 seconds, Train Loss: 0.3977767409324646, Validation Loss: 0.7321163846281009
Epoch: 97, Elapsed Time: 180.45447969436646 seconds, Train Loss: 0.3969882568359375, Validation Loss: 0.7314969004152682
Epoch: 98, Elapsed Time: 180.95999884605408 seconds, Train Loss: 0.3968223509788513, Validation Loss: 0.7320793969943501
Epoch: 99, Elapsed Time: 180.7366144657135 seconds, Train Loss: 0.39670149974823, Validation Loss: 0.7319708457008337
Epoch: 100, Elapsed Time: 179.3940737247467 seconds, Train Loss: 0.3969548237800598, Validation Loss: 0.7319102367273154
